Timestamp,Course:,Branch (if any):,Currently staying at:,Do you have interest in outdoor games?,How much time you dedicate for your games?,How much time you dedicate for your studies?,Do you like coding?,Are you certified in any of the given language?,Preferable websites for doing extra courses :,How much time you dedicate for improving your coding skills?,"Do you participate in competitive exams such as hackathons, idea generation, codechef?",Are you satisfied with your course curriculum ?,Are you satisfied with lab work/ lab assignment?,How frequently you visit to library?,How long do you study in library reading room?,How many books do you refer while studying a single topic?,Do you find the genre of books in library and their quality sufficient?,What medium of study you prefer for regular studies?,Should mini project labs start from 2nd year?,Have you completed any project on data analytics?,Are technical classes beneficial for you?,Give ratings to your technical classes.,Are aptitude classes beneficial for you?,Give ratings to your aptitude classes.,What combination of theory and lab credits would you prefer?,What do you expect from a teacher?,Would you prefer theory and Practical day separated?,What style of teaching do you prefer?,Would you prefer to go in classroom with laptops?,What do you want to become?,Would you like an amendment in the University policy of 1 student 1 job?,Should there be a trial class for a new joining(teacher) so that students can take a call on the teacher?,Duration of trial class should be?,Should there be night classes as an option so that if you wish you can join the night batch?,What outlook of the University do you get from its current scenario and ongoing proceedings?,Should there be courses introduced in University which provide earning while learning?,"Overall, how happy are you with your academic experience and university life?"
2018/03/16 6:38:00 PM GMT+5:30,B.Tech,Civil engineering,Hostel,Yes,1 hr,More than 3 hr,No,No interest,Indiabix ,1 hr,No,No,Not fully,Weekly,Never,Two to four,2,Books at Home,Yes,No,Yet not attended,1,Yes,1,4 theory 1 lab,More practical less theory,Yes,Ppt +blackboard,Yes,I E S,Any number of companies but at least one core company.,Yes,At least 2 hours,No,Admitting only crowd not along with studious sharp guys,Yes,1
2018/03/16 6:39:04 PM GMT+5:30,B.Tech,CSE,Hostel,Yes,2 hr,2 hr,Yes,R,Datacamp,1 hr,Yes,No,No,Weekly,Less than an hour,Most of the times only one,3,Notes of class,Yes,No,Yes,3,Yes,5,4 theory 1 lab,Balanced theory and practical,Yes,Blackboard,Yes,Software/ Website Developer,Any number of companies but at least one core company.,Yes,At least 2 hours,Yes,Passionate for placement,Yes,3
2018/03/16 6:39:16 PM GMT+5:30,B.Tech,CSE,Hostel,Yes,No time,More than 3 hr,No,None,Udemy,1 hr,No,No,No,Weekly,2 hours,Most of the times only one,3,Books at Home,Yes,No,Yes,4,Yes,5,3 theory 2 lab,More practical less theory,Yes,Blackboard,Yes,Marketing Executive,Any number of companies but at least one core company.,Yes,At most 4 hours (one week),Yes,Passionate for placement,Yes,3
2018/03/16 6:40:17 PM GMT+5:30,B.Tech,cse,Hostel,chess,2 hours on sundays,2 hr,Yes,R,Sanfoundary,1 hr,No,No,No,Weekly,2 hours,Most of the times only one,4,Internet,Yes,No,Yes,5,Yes,5,3 theory 2 lab,More practical less theory,No,Ppt +blackboard,Yes,Data Analyst/Scientist,Allowed to sit for at least 2 companies,No,At most 4 hours (one week),No,Passionate for placement,Yes,2
2018/03/16 6:40:35 PM GMT+5:30,B.Tech,,Hostel,No,No time,2 hr,No,C/C++,Cybrary.it,1 hr,"I like to go in workshops , Now they have stopped it for 1st year students",No,Yes,Ocassionally,2 hours,At least two,3,Notes of class,Yes,No,Yes,3,Yes,2,3 theory 2 lab,Nothing but practical,Yes,Ppt +blackboard,Yes,Penetration and Vulnerability Tester,Placements do not bother me as I would like to persue PG.,Yes,At least 2 hours,Yes,Option A. As the fee structure varies every year.,Yes,1
2018/03/16 6:43:06 PM GMT+5:30,B.Tech,Computer Science,Hostel,No,0,1 hr,Yes,No,Udacity,1 hr,No,No,No,Ocassionally,Never,Most of the times only one,3,Notes of class,Yes,No,No,2,Yes,3,2 theory 3 lab,More practical less theory,No,Blackboard,Yes,Software/ Website Developer,Allowed to sit for at least 2 companies,Yes,At least 2 hours,No,School type learning,Yes,2
2018/03/16 6:43:56 PM GMT+5:30,B.Tech,CSE,Hostel,Yes,We Don't get time for that because of tight schedule.,More than 3 hr,Yes,R,Datacamp,1 hr,Yes,No,No,Weekly,Less than an hour,Most of the times only one,1,Internet,No,No,Yes,4,Yes,5,2 theory 2 lab,Nothing but practical,Yes,Ppt +blackboard,Yes,Software/ Website Developer,Any number of companies but at least one core company.,Yes,At most 4 hours (one week),Yes,Passionate for admission,Yes,2
2018/03/16 6:49:53 PM GMT+5:30,B.Tech,ECE,Hostel,Yes,Zero hour,More than 3 hr,Yes,No,Sanfoundary,1 hr,No,Partially,Yes,Daily,Less than an hour,Most of the times only one,2,Internet,Yes,No,Yes,4,Yes,5,3 theory 2 lab,Balanced theory and practical,Yes,Ppt +blackboard,Yes,Tester/ Network Engineer,Any number of companies but at least one core company.,Yes,At least 2 hours,Yes,Passionate for placement,Yes,3
2018/03/16 6:50:46 PM GMT+5:30,B.Tech,CSE,Hostel,INDOOR GAMES,0HR,2 hr,Yes,NO,NPTEL,1 hr,Yes,No,No,Ocassionally,More than 2 hours,Most of the times only one,2,Internet,Yes,No,Yes,3,Yes,4,2 theory 3 lab,More practical less theory,Yes,Ppt +blackboard,Yes,Software/ Website Developer,Allowed to sit for at least 3 companies and 1 core company,Yes,At most 4 hours (one week),Yes,School type learning,Yes,3
2018/03/16 6:54:22 PM GMT+5:30,B.Tech,Electronics and communication,Home(with parents),Yes,1 hr,2 hr,No,No,No,1 hr,No,No,Yes,Weekly,Less than an hour,Most of the times only one,2,Notes of class,No,No,Yes,3,Yes,3,4 theory 1 lab,Balanced theory and practical,No,Ppt +blackboard,No,Government employee,No,Yes,Just one lecture,No,Passionate for placement,Yes,2
2018/03/16 6:58:05 PM GMT+5:30,B.Tech,Computer Science,Hostel,Yes,I am interested in games but internet attract me and unavailability of other student is  also the reason behind not spending time in outdoor games,2 hr,Yes,C and Java,"udacity, W3schools, javatpoint, tutorialpoint, cybrary.it",now a days i am not giving time for my coding skills ,Yes,No,No,Ocassionally,"during my preparation, i was giving more then 4 hours",depends on subject,2,all the above things should come together,Yes,No,Yes,4,Yes,4,2 theory 3 lab,practical should become the way of teaching so that student can understand theory  ,No,ppt+blackboard+book + questions+our own laptops,Yes,Software/ Website Developer,i am confused about it,Yes,At most 4 hours (one week),Yes,"school type of learning, no one wants to discuss practical knowledge and also passionate for placement",Yes,3
2018/03/16 7:08:07 PM GMT+5:30,B.Tech,CEA,Hostel,No,1 hr,2 hr,Yes,C/C++,Sanfoundary,1 hr,Yes,Yes,Yes,Weekly,Less than an hour,Most of the times only one,4,Internet,Yes,No,Yes,4,Yes,4,3 theory 2 lab,Balanced theory and practical,No,Blackboard,No,Software/ Website Developer,Allowed to sit for at least 2 companies and 1 core company,Yes,At least 2 hours,Yes,Passionate for placement,Yes,3
2018/03/16 7:16:48 PM GMT+5:30,B.Tech,CSE,Home(with parents),No,0 hr,2 hr,Yes,Not certified,Coursera,1 hr,Yes,No,No,Daily,Never,Most of the times only one,3,Internet,Yes,No,Yes,4,No,2,2 theory 2 lab,Balanced theory and practical,Yes,Blackboard,Yes,Entrepreneur,Allowed to sit for at least 2 companies and 1 core company,Yes,At most 4 hours (one week),Yes,School type learning,No,2
2018/03/16 7:24:32 PM GMT+5:30,MBA,,Hostel,Yes,1 hr,2 hr,No,no,Coursera,no,Yes,Yes,Yes,Ocassionally,2 hours,At least two,1,Notes of class,Yes,Yes,Yes,2,Yes,3,2 theory 3 lab,Balanced theory and practical,Yes,Ppt +blackboard,Yes,manager,Allowed to sit for at least 2 companies and 1 core company,Yes,At least 2 hours,Yes,Passionate for placement,Yes,2
2018/03/16 7:24:38 PM GMT+5:30,B.Tech,EC,Hostel,Yes,Half an hour probably... ,3 hr,No,"No,  I am not. ",...,1 hr,No,No,Yes,Monthly,More than 2 hours,At least two,4,"Books, internet n notes of class",Yes,No,Yes,4,No,3,4 theory 1 lab,Balanced theory and practical,Yes,Ppt +blackboard,Yes,"To study my core subject I.e. EC further, with preparations of GATE. ",Allowed to sit for at least 3 companies and 1 core company,Yes,At least 2 hours,Yes,Passionate for admission,Yes,4
2018/03/16 7:31:08 PM GMT+5:30,B.Tech,computer science engineering,Hostel,Yes,1 hr,2 hr,Yes,C/C++,Sanfoundary,1 hr,No,Yes,Yes,Weekly,2 hours,At least two,5,Internet,Yes,No,Yes,3,Yes,5,4 theory 1 lab,Balanced theory and practical,Yes,Ppt +blackboard,Yes,Software/ Website Developer,Allowed to sit for at least 3 companies and 1 core company,Yes,At most 4 hours (one week),Yes,Passionate for placement,Yes,3
2018/03/16 7:32:23 PM GMT+5:30,B.Tech,electronics and communication engineering,Hostel,Yes,1 hr,2 hr,No,nil,Udemy,1 hr,No,No,am not we waste our time in writing files instead of performing practicals.printed files should be given in labs for better upgradation.,Weekly,2 hours,Most of the times only one,1,Books at Home,Yes,No,Yes,5,Yes,5,3 theory 2 lab,Balanced theory and practical,Yes,Ppt +blackboard,Yes,Data Analyst/Scientist,Any number of companies but at least one core company.,Yes,Just one lecture,Yes,nobody motivates here for ideas and we students are stressed out with such a labour law timing of 8 to 9 hours daily schedule after that we are not able to learn something new.,Yes,2
2018/03/16 7:34:29 PM GMT+5:30,B.Tech,CSE,Hostel,Indoor game : table tennis,1 hr,3 hr,Yes,"also in R from data camp, python from Lynda",Coursera,More than 3 hr,Yes,Yes,Yes,Ocassionally,Never,Most of the times only one,4,Internet,Yes,No,Yes,5,Yes,5,2 theory 3 lab,More practical less theory,Yes,Ppt +blackboard,Yes,AWS Certified DevOps Engineer,Any number of companies but at least one core company.,Yes,At most 4 hours (one week),Yes,Passionate for placement,Yes,4
2018/03/16 7:36:31 PM GMT+5:30,B.Tech,CS,Hostel,No,None,1 hr,Yes,None,Udemy,none,No,Yes,Yes,Ocassionally,Never,Most of the times only one,5,Books at Home,No,No,Yes,4,Yes,4,2 theory 2 lab,Balanced theory and practical,No,Ppt +blackboard,Yes,Software/ Website Developer,No,No,none,No,Teachers passionate to teach & students passionate for placement,No,4
2018/03/16 7:37:09 PM GMT+5:30,B.com(Hons.),,Hostel,Yes,1 hr,1 hr,Yes,C/C++,Datacamp,Not doing so far.,No,No,No,Monthly,Never,At least two,3,Internet,No,Yes,No,1,Yes,2,2 theory 2 lab,More practical less theory,No,Ppt,Yes,Business Developer,Allowed to sit for at least 2 companies,Yes,Just one lecture,Yes,School type learning,Yes,3
2018/03/16 7:38:25 PM GMT+5:30,B.Tech,CSE,Hostel,No,i usually don't play,More than 3 hr,Yes,"HTML,CSS,JAVASCRIPT,PHP",Udemy and Datacamp,2 hr,Yes,Yes,Yes,Ocassionally,More than 2 hours,Most of the times only one,2,Internet,Yes,No,No,2,Yes,4,3 theory 2 lab,More practical less theory,No,Ppt +blackboard,Yes,Software/ Website Developer,i totally  agree,Yes,At most 4 hours (one week),No,Passionate for admission,Yes,3
2018/03/16 7:48:45 PM GMT+5:30,B.Tech,CSE,Hostel,Yes,1 hr,More than 3 hr,Yes,No,Datacamp,1 hr,No,Yes,No,Weekly,Less than an hour,Most of the times only one,5,Internet,Yes,No,Yes,3,Yes,4,2 theory 3 lab,More practical less theory,Yes,Ppt +blackboard,No,Software/ Website Developer,Allowed to sit for at least 2 companies,Yes,At most 8 hours (two weeks),No,Passionate for placement,Yes,4
2018/03/16 7:50:03 PM GMT+5:30,B.Tech,ccv,Rented room,Yes,0 hr,2 hr,Yes,not certified but have knowledge of each,Udemy,2 hr,No,No,No,Ocassionally,Never,At least two,2,Internet,Yes,No,Yes,5,Yes,5,2 theory 2 lab,Balanced theory and practical,Yes,they explain in deep as per each candidate may get benifit of it to understand any thing easily ,Yes,Software/ Website Developer,Any number of companies but at least one core company.,Yes,At most 4 hours (one week),Yes,Passionate for placement,Yes,3
2018/03/16 7:50:25 PM GMT+5:30,MBA,,Hostel,No,2 hr,3 hr,Yes,AutoCAD,Datacamp,1 hr,No,Yes,Yes,Daily,Less than an hour,At least two,3,Notes of class,No,No,Yes,5,Yes,5,4 lab 1 theory,More practical less theory,No,Ppt +blackboard,No,Tester/ Network Engineer,Allowed to sit for at least 2 companies and 1 core company,No,Just one lecture,No,School type learning,Yes,5
2018/03/16 7:52:21 PM GMT+5:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,No,0,3,No,3,0,0,No,0,No,0,0,No,0,No,0,No,3
2018/03/16 7:58:52 PM GMT+5:30,B.Tech,Ec,Hostel,No,1 hr,More than 3 hr,No,C/C++,Coursera,1 hr,No,No,Yes,Weekly,More than 2 hours,Most of the times only one,5,Books at Home,Yes,No,No,1,Yes,3,3 theory 2 lab,More practical less theory,No,Blackboard,No,Tester/ Network Engineer,Any number of companies but at least one core company.,Yes,Just one lecture,Yes,Passionate for placement,No,2
2018/03/16 8:04:47 PM GMT+5:30,B.Tech,electronics and communication,Home(with parents),Yes,can not give,2 hr,Yes,C/C++,no,no time,No,No,Yes,Ocassionally,Never,Most of the times only one,3,Notes of class,No,No,Yes,4,Yes,4,3 theory 2 lab,Balanced theory and practical,No,Blackboard,No,Software/ Website Developer,yea,No,Just one lecture,No,School type learning,No,2
2018/03/16 8:16:07 PM GMT+5:30,B.Tech,CSE,Hostel,No,None,2 hr,Yes,Java,Udemy,1 hr,No,No,Yes,Never,Never,None,3,Internet,Yes,No,Yes,5,No,3,3 theory 2 lab,Balanced theory and practical,Yes,Ppt +blackboard,Yes,Software/ Website Developer,Any number of companies but at least one core company.,Yes,At most 4 hours (one week),No,School type learning,Yes,2
2018/03/16 8:21:47 PM GMT+5:30,B.Tech,c.s.e,Hostel,No,1 hr,1 hr,Yes,Python,Datacamp,1 hr,Yes,Yes,Yes,Ocassionally,Never,At least two,3,Internet,Yes,No,Yes,3,Yes,3,3 theory 2 lab,Nothing but practical,No,Ppt +blackboard,Yes,Software/ Website Developer,Any number of companies but at least one core company.,Yes,At least 2 hours,Yes,Passionate for admission,Yes,3
2018/03/16 8:29:05 PM GMT+5:30,B.Tech,CSE,Hostel,Yes,1 hr,2 hr,Yes,R,edx,1 hr,No,No,Yes,Ocassionally,Never,Most of the times only one,2,Internet,Yes,Yes,Yes,4,Yes,3,4 theory 1 lab,More practical less theory,No,Ppt +blackboard,Yes,Data Analyst/Scientist,Allowed to sit for at least 2 companies and 1 core company,Yes,Just one lecture,No,School type learning,Yes,3
2018/03/16 8:30:19 PM GMT+5:30,B.Tech,Computer Science & Engineering,Hostel,No,1 hr,More than 3 hr,Yes,Not yet,Coursera,2 hr,No,No,Yes,Weekly,Sometimes,At least one book along with internet,4,Books at Home,Yes,No,Yes,4,Yes,5,4 theory 1 lab,Balanced theory and practical,No,Ppt +blackboard,Yes,Data Analyst/Scientist,Allowed to sit for at least 2 companies,Yes,At most 4 hours (one week),Yes,Passionate for placement,Yes,4
2018/03/16 8:34:03 PM GMT+5:30,B.Tech,CSE (DA),Hostel,Yes,1 hr,More than 3 hr,Yes,Python,Datacamp,1 hr,No,Yes,Yes,Weekly,Less than an hour,Most of the times only one,4,Books at Home,Yes,No,Yes,3,Yes,5,2 theory 3 lab,Balanced theory and practical,No,Ppt +blackboard,Yes,Data Analyst/Scientist,Allowed to sit for at least 2 companies and 1 core company,Yes,At most 4 hours (one week),Yes,Passionate for placement,Yes,3
2018/03/16 8:36:05 PM GMT+5:30,B.Tech,CSE,Hostel,Yes,Cannot dedicate time these days,2 hr,Yes,C/C++,Udemy,1 hr,No,No,No,Ocassionally,Less than an hour,Most of the times only one,2,Notes of class,Yes,No,Yes,2,Yes,4,3 theory 2 lab,Balanced theory and practical,Yes,Blackboard,Yes,A teacher,Allowed to sit for at least 2 companies and 1 core company,Yes,Just one lecture,No,Passionate for admission,Yes,3
2018/03/16 8:37:59 PM GMT+5:30,MBA,,Hostel,No,1 hr,2 hr,No,Java,Coursera,1 hr,No,Yes,Yes,Ocassionally,Never,Most of the times only one,4,Internet,Yes,No,Yes,5,Yes,5,2 theory 3 lab,Balanced theory and practical,Yes,Ppt +blackboard,Yes,manager,Allowed to sit for at least 2 companies,No,Just one lecture,Yes,Passionate for placement,Yes,5
2018/03/16 8:51:21 PM GMT+5:30,B.Tech,Mechanical engineering.,Hostel,Yes,1 hr,More than 3 hr,No,not certified.,Sanfoundary,my branch is different thats why i do not practice coding.,No,Yes,Yes,Daily,Never,At least two,3,Books at Home,branch is different.,No,Yes,3,Yes,4,4 theory 1 lab,Balanced theory and practical,No,Excerpts from the books or technical paper reading in classroom,No,mechanical engineer.,Any number of companies but at least one core company.,No,At most 4 hours (one week),No,School type learning,Yes,3
2018/03/16 8:56:29 PM GMT+5:30,B.Tech,MECHANICAL,Hostel,Yes,1 hr,3 hr,Yes,C/C++,Sanfoundary,1 hr,No,No,No,Daily,More than 2 hours,At least two,4,Books at Home,Yes,No,No,1,Yes,5,2 theory 3 lab,More practical less theory,Yes,Blackboard,No,Software/ Website Developer,Allowed to sit for at least 2 companies and 1 core company,No,NO,No,Passionate for admission,Yes,2
2018/03/16 8:56:33 PM GMT+5:30,B.Tech,CSE,Hostel,Yes,no time,More than 3 hr,Yes,Java,Datacamp,3 hr,No,No,No,Weekly,2 hours,At least two,2,Internet,No,No,less beneficial,2,Yes,3,4 theory 1 lab,Balanced theory and practical,Yes,Ppt +blackboard,Yes,System/ Database Admin,no amendment,Yes,At most 4 hours (one week),No,Passionate for admission,Yes,2
2018/03/16 8:57:19 PM GMT+5:30,B.Tech,Civil,Hostel,Yes,1 hr,2 hr,No,No,No,No,No,No,Yes,Monthly,2 hours,Most of the times only one,3,Notes of class,Yes,No,Yes,3,No,2,2 theory 3 lab,Balanced theory and practical,Yes,Ppt +blackboard,Yes,Government officer,Any number of companies but at least one core company.,Yes,At least 2 hours,Yes,Passionate for admission,Yes,3
2018/03/16 9:08:15 PM GMT+5:30,B.Tech,Civil engineering,Rented room,No,1 hr,More than 3 hr,Yes,C/C++,Udemy,1 hr,Yes,No,No,Daily,More than 2 hours,At least two,1,Books at Home,No,No,Yes,1,No,1,4 theory 1 lab,Balanced theory and practical,Yes,Excerpts from the books or technical paper reading in classroom,No,Civil Engineer,Allowed to sit for at least 2 companies,No,Just one lecture,Yes,Passionate for admission,No,1
2018/03/16 9:09:11 PM GMT+5:30,B.Tech,Computer Science with specialization in Cloud Computing and Virtualization,Home(with relatives),No,none,none,Yes,Cyber Security,Downloaded course material,1 hr,No,No,Yes,Ocassionally,Never,none,4,Notes of class,Yes,No,Yes,4,Yes,3,2 theory 3 lab,More practical less theory,No,Ppt +blackboard,Yes,none,Allowed to sit for at least 2 companies and 1 core company,No,Just one lecture,Yes,School type learning,No,4
2018/03/16 9:10:18 PM GMT+5:30,Bcom(hons.),,Home(with parents),Yes,1 hr,2 hr,No,no,internshala,zero,sometimes,No,Yes,Monthly,Less than an hour,Most of the times only one,3,Internet,Yes,No,No,1,Yes,3,2 theory 3 lab,Nothing but practical,Yes,practical study in open environment with some live examples,Yes,accountant,Any number of companies but at least one core company.,Yes,At least 2 hours,No,School type learning,Yes,2
2018/03/16 9:14:04 PM GMT+5:30,B.Tech,Cse,Hostel,Yes,1 hr,It depends ,Yes,Php,Datacamp,Depends on time to time ,No,No,Yes,Weekly,Depends on time ,At least two,3,"Internet, books, and notes",No,No,Yes,2,Yes,5,3 theory 2 lab,Balanced theory and practical,Yes,Ppt +blackboard,Yes,Data Analyst/Scientist,Any number of companies but at least one core company.,Yes,At least 2 hours,Yes,Passionate for placement,Yes,3
2018/03/16 9:22:32 PM GMT+5:30,B.Tech,Ece,Home(with parents),Yes,1 hr,2 hr,Yes,C/C++,Nptel,1 hr,No,Yes,Yes,Daily,Less than an hour,Most of the times only one,4,Books at Home,Yes,No,Yes,4,Yes,4,3 theory 2 lab,Balanced theory and practical,Yes,Ppt +blackboard,No,Software/ Website Developer,Any number of companies but at least one core company.,Yes,At most 4 hours (one week),No,Passionate for placement,Yes,4
2018/03/16 9:28:17 PM GMT+5:30,B.Tech,Mechanical ,Hostel,Yes,Sometimes ,1 hr,No,C/C++,Don't know ,In exams ,No,No,Yes,Ocassionally,More than 2 hours,Most of the times only one,3,Books at Home,No,No,Yes,3,Yes,5,3 theory 2 lab,Balanced theory and practical,Yes,Ppt +blackboard,Yes,Mechanical Engineer,Any number of companies but at least one core company.,Yes,Just one lecture,Yes,Passionate for admission,Yes,2
2018/03/16 9:34:16 PM GMT+5:30,B.Tech,mechanical,Hostel,Yes,i give my time occasionally,2 hr,No,no,not done yet,i don't dedicate,yes i participate in competitive exams but not related to any coding,No,Yes,Weekly,More than 2 hours,At least two,1,Books at Home,Yes,No,Yes,3,Yes,5,2 theory 2 lab,Balanced theory and practical,Yes,Ppt +blackboard,No,want to join Defence,Any number of companies but at least one core company.,Yes,Just one lecture,Yes,Passionate for placement,Yes,2
2018/03/16 9:46:35 PM GMT+5:30,B.Tech,CSE,Home(with parents),Yes,Because of being a dayscholars couldn't take participation in games,2 hr,No,C/C++,Datacamp,1 hr,Yes,No,No,Daily,Less than an hour,Most of the times only one,3,Internet,No,No,Yes,4,Yes,4,2 theory 2 lab,More practical less theory,Yes,Excerpts from the books or technical paper reading in classroom,Yes,Software/ Website Developer,Any number of companies but at least one core company.,Yes,At least 2 hours,No,School type learning,Yes,2
2018/03/16 9:52:22 PM GMT+5:30,B.Tech,CSE,Hostel,Yes,No time,20 mins/day,Sometime,Java,I don't do extra courses,None,No,Yes,Yes,Never,Never,No book,2,Friends,No,No,Sometimes,3,Yes,3,2 theory 2 lab,Nothing but theory,Yes,Ppt +blackboard,No,Game Tester/Government Employee,Any number of companies but at least one core company.,Yes,Just one lecture,No,School type learning,No,1
2018/03/16 9:55:59 PM GMT+5:30,B.Tech,Civil,Hostel,Yes,2 hr,2 hr,No,none of the above,vocabulary.com,no time,No,No,Yes,Ocassionally,Less than an hour,Most of the times only one,4,Books at Home,Yes,No,Yes,3,Yes,5,4 theory 1 lab,More practical less theory,No,Ppt +blackboard,Yes,Civil Engineer,Any number of companies but at least one core company.,Yes,At least 2 hours,Yes,School type learning,Yes,4
2018/03/16 10:17:17 PM GMT+5:30,B.Tech,Mechanical,Hostel,Yes,1 hr,More than 3 hr,No,C/C++,Udemy,No time,No,Yes,No,Weekly,Never,At least two,2,Books at Home,Yes,No,Yes,4,Yes,4,4 theory 1 lab,Balanced theory and practical,Yes,Excerpts from the books or technical paper reading in classroom,Yes,Mechanical engineer,Allowed to sit for at least 3 companies and 1 core company,Yes,Just one lecture,No,School type learning,Yes,2
2018/03/16 10:25:47 PM GMT+5:30,BCA,,Hostel,Yes,1 hr,More than 3 hr,Yes,Java,Coursera,More than 3 hr,Yes,Yes,Yes,Ocassionally,Never,At least two,5,Internet,Yes,No,Yes,5,Yes,5,3 theory 2 lab,More practical less theory,Yes,Blackboard,Yes,Software/ Website Developer,Allowed to sit for at least 2 companies,No,At most 4 hours (one week),Yes,Passionate for placement,Yes,4
2018/03/16 10:32:43 PM GMT+5:30,Polytechnic,Civil engineering,Home(with parents),No,1 hr,2 hr,No,C/C++,Datacamp,1 hr,No,Yes,Yes,Weekly,Never,At least two,2,Notes of class,No,No,Yes,3,Yes,2,4 theory 1 lab,Nothing but theory,No,Ppt +blackboard,No,Tester/ Network Engineer,Allowed to sit for at least 3 companies and 1 core company,No,Just one lecture,No,Passionate for placement,No,3
2018/03/16 10:36:37 PM GMT+5:30,B.Tech,Electronics & Communication Engineering,Hostel,Yes,1 hr,1 hr,Yes,C/C++,Sanfoundary,1 hr,No,No,No,Weekly,Less than an hour,Most of the times only one,3,Notes of class,Yes,Yes,Yes,4,Yes,4,3 theory 2 lab,Balanced theory and practical,No,Ppt +blackboard,Yes,Tester/ Network Engineer,Allowed to sit for at least 2 companies and 1 core company,Yes,At least 2 hours,Yes,School type learning,No,3
2018/03/16 10:49:53 PM GMT+5:30,B.Tech,E.C.E,Hostel,Yes,0 hr,More than 3 hr,Yes,No,My Sirg.com,2 hr,No,Yes,Yes,Ocassionally,More than 2 hours,Most of the times only one,2,Notes of class,Yes,No,Yes,3,Yes,3,3 theory 2 lab,More practical less theory,No,Ppt +blackboard,No,System/ Database Admin,Allowed to sit for at least 2 companies and 1 core company,Yes,Just one lecture,Yes,School type learning,Yes,3
2018/03/16 10:51:03 PM GMT+5:30,B.Tech,Electrical,Hostel,Yes,1 hr,More than 3 hr,Yes,C/C++,Sanfoundary,1 hr,Yes,Yes,Yes,Weekly,2 hours,Most of the times only one,3,Notes of class,Yes,No,Yes,4,Yes,3,2 theory 2 lab,More practical less theory,Yes,Ppt +blackboard,No,Data Analyst/Scientist,Allowed to sit for at least 3 companies and 1 core company,Yes,At least 2 hours,Yes,Passionate for Learning,Yes,2
2018/03/16 10:53:12 PM GMT+5:30,B.Tech,CSE,Hostel,No,1 hr,2 hr,Yes,Python,Udemy,1 hr,No,No,Yes,Monthly,More than 2 hours,Two to four,4,Internet,Yes,No,Yes,4,Yes,5,3 theory 2 lab,More practical less theory,Yes,Ppt +blackboard,Yes,Data Analyst/Scientist,Allowed to sit for at least 2 companies,Yes,At least 2 hours,Yes,Passionate for placement,Yes,4
2018/03/16 10:53:16 PM GMT+5:30,B.Tech,mechanical,Hostel,No,1 hr,2 hr,Yes,sql ,Sanfoundary,1 hr,No,No,No,Monthly,2 hours,Most of the times only one,4,Books at Home,Yes,No,Yes,4,Yes,4,3 theory 2 lab,Balanced theory and practical,No,Blackboard,Yes,Data Analyst/Scientist,Any number of companies but at least one core company.,Yes,Just one lecture,No,Passionate for placement,Yes,4
2018/03/16 11:00:35 PM GMT+5:30,B.Tech,CSE,Hostel,No,1 hr,3 hr,Yes,Python,Datacamp,1 hr,No,No,No,Weekly,Less than an hour,Most of the times only one,4,Notes of class,Yes,No,Yes,5,Yes,5,3 theory 2 lab,Balanced theory and practical,No,Blackboard,Yes,Software/ Website Developer,Allowed to sit for at least 3 companies and 1 core company,No,Just one lecture,No,Passionate for admission,Yes,4
2018/03/16 11:06:44 PM GMT+5:30,B.Tech,Mechanical,Hostel,Yes,1 hr,More than 3 hr,Yes,None,Udemy,1 hr,No,No,No,Weekly,Less than an hour,At least two,3,Internet,Yes,No,Yes,4,No,1,2 theory 3 lab,More practical less theory,No,Ppt +blackboard,Yes,Mechanical Engineer,Any number of companies but at least one core company.,Yes,At least 2 hours,Yes,School type learning,Yes,2
2018/03/16 11:11:06 PM GMT+5:30,B.Tech,CSE,Hostel,Yes,1 hr,2 hr,Yes,C/C++,udacity,1 hr,Yes,Yes,Yes,Weekly,More than 2 hours,Most of the times only one,4,Notes of class,Yes,No,Yes,4,Yes,4,3 theory 2 lab,Balanced theory and practical,No,Ppt +blackboard,Yes,Data Analyst/Scientist,Any number of companies but at least one core company.,Yes,At most 4 hours (one week),Yes,Passionate for Learning,Yes,4
2018/03/16 11:23:14 PM GMT+5:30,MCA,,Hostel,No,1 hr,2 hr,Yes,Java,Datacamp,2 hr,Yes,Yes,No,Weekly,More than 2 hours,Two to four,4,Internet,No,No,Yes,3,Yes,4,3 theory 2 lab,More practical less theory,Yes,Ppt +blackboard,No,Tester/ Network Engineer,Allowed to sit for at least 2 companies and 1 core company,Yes,At least 2 hours,No,School type learning,Yes,4
2018/03/16 11:40:48 PM GMT+5:30,BCA,,Hostel,No,no time for games,3 hr,Yes,not having any certification in any programming language,youth4work.com,More than 3 hr,No,Yes,Yes,Weekly,2 hours,Two to four,3,Internet,Yes,No,Yes,3,Yes,3,2 theory 2 lab,Balanced theory and practical,Yes,Ppt +blackboard,Yes,Software/ Website Developer,Allowed to sit for at least 3 companies and 1 core company,Yes,At most 4 hours (one week),Yes,Passionate for placement,No,3
